//--------------------------------------------------------
// Predicted diseases words
//--------------------------------------------------------
Words	OriginalClass	PredictedClass
FACTO	0	1
leucoencephalopathy	0	1
Aphthosis	0	1
Desmoid	0	1
metapneumovirus	0	1
Tracheobronchomalacia	0	1
RESLES	0	1
mal-absorption	0	1
acroparesthesias	0	1
limb-shaking	0	1
pineocytomas	0	1
hypomineralisation	0	1
neurognathostomiasis	0	1
Metastasis	0	1
myelomatosis	0	1
AMRF	0	1
arthralgia	0	1
fibrodentinoma	0	1
infantile-ataxia	0	1
knowlesi	0	1
urolithiasis	0	1
non-anaplastic	0	1
molecule-targeted	0	1
pachybrachis	0	1
alpinia	0	1
ditra	0	1
psh	0	1
hyperinfection	0	1
tsh-producing	0	1
diagnosis	0	1
miscellany	0	1
luteo-olivacea	0	1
methylisothiourea	0	1
radopholus	0	1
magnaporthaceae	0	1
polycyclic	0	1
haemophilic	0	1
ichd-ii	0	1
strasbourg	0	1
diphenylpropane	0	1
hundsdoerfer	0	1
heterotaxic	0	1
papules	0	1
micranthum	0	1
knautia	0	1
nait	0	1
poisson-corrected	0	1
artemisin	0	1
b-chromosomes	0	1
retinopexy	0	1
asobara	0	1
cyp2	0	1
dinodon	0	1
pseudosarcoma	0	1
antihepatitis	0	1
angiosperms	0	1
louisae	0	1
porphyries	0	1
ophiostomatales	0	1
thaumetopoea	0	1
kinship	0	1
minutissimum	0	1
plgg	0	1
dilacerations	0	1
spirochetal	0	1
villotubular	0	1
madurasia	0	1
esophagic	0	1
nik-zainals	0	1
strictosidine	0	1
skin-picking	0	1
anthropophagy	0	1
leptothecata	0	1
brovey	0	1
fusarium-like	0	1
ascetic	0	1
linepithema	0	1
sprengel	0	1
vte-related	0	1
cerambycidae	0	1
chordate	0	1
tshomas	0	1
mycoparasites	0	1
drywood	0	1
bergenia	0	1
cavitory	0	1
nebc	0	1
maculopapular	0	1
postradiation	0	1
hypercortisolaemia	0	1
ampelopsis	0	1
amnr	0	1
fibrocaseous	0	1
heliconia	0	1
last-named	0	1
haementeria	0	1
ierr	0	1
apabahuka	0	1
nardosinane	0	1
non-classified	0	1
atypias	0	1
phosphotriesterases	0	1
hg-dcis	0	1
giddiness	0	1
prognosis	0	1
acardiac	0	1
bufonis	0	1
illacme	0	1
kadish	0	1
non-cardiogenic	0	1
hedyosmum	0	1
caliciviridae	0	1
bjhs	0	1
lacertids	0	1
brodatz	0	1
bmpm	0	1
short-limb	0	1
envenomations	0	1
ignorome	0	1
ochengi	0	1
albulus	0	1
dimorph	0	1
multi-clone	0	1
sinclairii	0	1
scpc	0	1
hymenochaetaceae	0	1
hexadactyly	0	1
crest-related	0	1
triterpenoidal	0	1
butylphthalide	0	1
melanocytomas	0	1
cales	0	1
chionomys	0	1
autoimmune-based	0	1
neochilus	0	1
dysmorphologies	0	1
hemiparesis	0	1
ulmus	0	1
postcraniotomy	0	1
polonica	0	1
seridoensis	0	1
myxosporea	0	1
cochleariae	0	1
odontalgia	0	1
pleuropericardial	0	1
theba	0	1
intraabdominal	0	1
leport	0	1
callipygius	0	1
hospitalpsychiatric	0	1
trazer	0	1
bleach	0	1
gelport	0	1
cd1h	0	1
tolbutamide-induced	0	1
samstein	0	1
decayers	0	1
levick	0	1
mdfvs	0	1
bimanually	0	1
psl-runner	0	1
sankarehk	0	1
bico	0	1
expediently	0	1
wafula	0	1
nakaku	0	1
autoagglutination	0	1
ospfxqos	0	1
re-scanning	0	1
ecologyjournal	0	1
perez-martosa	0	1
bdtt-si	0	1
chinakakani	0	1
angiotensin	0	1
uniprot_q14953	0	1
georgakilas	0	1
fermi-level	0	1
acetonitrile	0	1
monocytesimmunol	0	1
odor-encoding	0	1
deintensification	0	1
colony-sectoring	0	1
knightem	0	1
ihqd	0	1
winstonrm	0	1
stellwagen	0	1
ezrin-mediated	0	1
cowpertwait	0	1
transfatty	0	1
kanglaite	0	1
agreeability	0	1
pasc	0	1
binap	0	1
stabilityint	0	1
amblyopiainvest	0	1
gaba-responsive	0	1
smirnoffn	0	1
